date,well_id,gas_mmscfd
2025-09-19,WELL_E05,8.1405
2025-09-19,WELL_F10,0.0
2025-09-20,WELL_A12,11.2358
2025-09-20,WELL_B07,0.0
2025-09-20,WELL_C03,0.2813
2025-09-20,WELL_D01,0.0
2025-09-20,WELL_D02,0.0
2025-09-20,WELL_E05,7.959
2025-09-20,WELL_F10,0.0
2025-09-21,WELL_A12,12.295
2025-09-21,WELL_B07,0.0
2025-09-21,WELL_C03,0.2821
2025-09-21,WELL_D01,0.0
2025-09-21,WELL_D02,0.0
2025-09-21,WELL_E05,7.6784
2025-09-21,WELL_F10,0.0
2025-09-22,WELL_A12,11.4579
2025-09-22,WELL_B07,0.0
2025-09-22,WELL_C03,0.2832
2025-09-22,WELL_D01,0.0
2025-09-22,WELL_D02,0.0
2025-09-22,WELL_E05,7.7791
2025-09-22,WELL_F10,0.0
2025-09-23,WELL_A12,12.2238
2025-09-23,WELL_B07,0.0
2025-09-23,WELL_C03,0.3019
2025-09-23,WELL_D01,0.0
2025-09-23,WELL_D02,0.0
2025-09-23,WELL_E05,7.0017
2025-09-23,WELL_F10,0.0
2025-09-24,WELL_A12,10.6968
2025-09-24,WELL_B07,0.0
2025-09-24,WELL_C03,0.3091
2025-09-24,WELL_D01,0.0
2025-09-24,WELL_D02,0.0
2025-09-24,WELL_E05,8.1239
2025-09-24,WELL_F10,0.0
2025-09-25,WELL_A12,11.5652
2025-09-25,WELL_B07,0.0
2025-09-25,WELL_C03,0.3131
2025-09-25,WELL_D01,0.0
2025-09-25,WELL_D02,0.0
2025-09-25,WELL_E05,9.3412
2025-09-25,WELL_F10,0.0
2025-09-26,WELL_A12,11.8497
2025-09-26,WELL_B07,0.0
2025-09-26,WELL_C03,0.3184
2025-09-26,WELL_D01,0.0
2025-09-26,WELL_D02,0.0
2025-09-26,WELL_E05,8.1369
2025-09-26,WELL_F10,0.0
2025-09-27,WELL_A12,11.9751
2025-09-27,WELL_B07,0.0
2025-09-27,WELL_C03,0.2792
2025-09-27,WELL_D01,0.0
2025-09-27,WELL_D02,0.0
2025-09-27,WELL_E05,7.921
2025-09-27,WELL_F10,0.0
2025-09-28,WELL_A12,9.8707
2025-09-28,WELL_B07,0.0
2025-09-28,WELL_C03,0.2868
2025-09-28,WELL_D01,0.0
2025-09-28,WELL_D02,0.0
2025-09-28,WELL_E05,8.2056
2025-09-28,WELL_F10,0.0
2025-09-29,WELL_A12,12.6295
2025-09-29,WELL_B07,0.0
2025-09-29,WELL_C03,0.2865
2025-09-29,WELL_D01,0.0
2025-09-29,WELL_D02,0.0
2025-09-29,WELL_E05,8.2501
2025-09-29,WELL_F10,0.0
2025-09-30,WELL_A12,10.9977
2025-09-30,WELL_B07,0.0
2025-09-30,WELL_C03,0.2902
2025-09-30,WELL_D01,0.0
2025-09-30,WELL_D02,0.0
2025-09-30,WELL_E05,7.3985
2025-09-30,WELL_F10,0.0
